episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
246, -3719.377940773964, 2, 6.929660062999574, 360, 123967,                                             123967, 0.0, 4905.03955078125
247, -3259.4699754714966, 2, 4.72392104499977, 241, 124208,                                             124208, 0.0, 4887.2666015625
248, 244.36260151863098, 1, 15.137830796000344, 806, 125014,                                             125014, 0.0, 4918.40625
249, -4090.2180094122887, 3, 13.128779042000133, 682, 125696,                                             125696, 0.0, 4640.931640625
250, 2209.048014074564, 1, 3.732514487000117, 185, 125881,                                             125881, 0.0, 4630.869140625
251, -4056.9958361387253, 2, 8.482571756000652, 441, 126322,                                             126322, 0.0, 5067.25390625
252, 1942.617568463087, 1, 4.128654997999547, 213, 126535,                                             126535, 0.0, 5184.08642578125
253, -2707.0698199272156, 2, 1.6994531609998376, 73, 126608,                                             126608, 0.0, 5441.88720703125
254, 2090.692398607731, 1, 3.3206652090002535, 173, 126781,                                             126781, 0.0, 4307.3388671875
255, 1721.3264420628548, 1, 3.7268237690004753, 197, 126978,                                             126978, 0.0, 4233.49951171875
256, 956.6723830699921, 1, 5.703794762000143, 285, 127263,                                             127263, 0.0, 4452.41943359375
257, -3926.779433310032, 3, 9.536832398000115, 488, 127751,                                             127751, 0.0, 5107.89306640625
258, 342.44793981313705, 1, 6.533328036000057, 337, 128088,                                             128088, 0.0, 4446.35986328125
259, -2523.3712372779846, 2, 2.7032281239999065, 122, 128210,                                             128210, 0.0, 5855.03466796875
260, 1974.7712935209274, 1, 2.503008442999999, 120, 128330,                                             128330, 0.0, 4868.6591796875
261, -5362.315761804581, 2, 10.47770739599946, 549, 128879,                                             128879, 0.0, 4896.6953125
262, 1990.6665533185005, 1, 5.328746393999609, 251, 129130,                                             129130, 0.0, 4833.15966796875
263, -2535.673928797245, 2, 2.324495819000731, 111, 129241,                                             129241, 0.0, 5061.43701171875
264, 2085.1103232502937, 1, 3.1195875610001167, 141, 129382,                                             129382, 0.0, 5574.52001953125
265, 492.54881313443184, 1, 6.327264739000384, 322, 129704,                                             129704, 0.0, 5371.80419921875
266, -2608.4991983175278, 2, 2.10169431399936, 96, 129800,                                             129800, 0.0, 5105.853515625
267, 996.1391785144806, 1, 6.130607395999505, 325, 130125,                                             130125, 0.0, 5085.322265625
